"","outcome","incl6","EWAS mQTLs","Total mQTLs","b","se","pval"
"1","fev1",TRUE,985,195519,1.38531707831495,0.302945515767928,4.81484521356673e-06
"2","fvc",TRUE,241,195519,0.512393141102619,0.460210586044788,0.265543011435193
"3","fev1fvc",TRUE,121,195519,1.20631338942613,1.14243439477455,0.291008444968874
"4","fev1",FALSE,885,178023,1.08853150876604,0.207753722212009,1.61170260754913e-07
"5","fvc",FALSE,223,178023,0.144073746524014,0.399608243685754,0.718445666235913
"6","fev1fvc",FALSE,108,178023,1.98613485517613,0.723214050874502,0.00602847618775381
